ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2020_NHM_15709_1,tender,tender,1,2022-09-29,2020_NHM_15709_1,2019_Procurement_NHM_23693,SUPPLY OF ION METER WITH FLUORIDE ESTIMATION KIT,Goods,Open Tender,Buy,Supply of Materials,NA,No,No,200000,2020-04-01 9:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,60,No,Offline,NA,To be Opened,3,assessment,Price Bid Opening Date,NA,21-01-2020 16:00,NA,National Health Mission,2020-2021
ocds-kjhdrl-2020_NHM_15710_1,tender,tender,1,2022-09-29,2020_NHM_15710_1,2019_Procurement_NHM_26400,SUPPLY AND INSTALLATION OF CO MONITOR,Goods,Open Tender,Buy,Supply of Materials,NA,No,No,450000,2020-04-01 9:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,60,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,05-02-2020 16:00,NA,National Health Mission,2020-2021
ocds-kjhdrl-2020_NHM_15711_1,tender,tender,1,2022-09-29,2020_NHM_15711_1,2019_Procurement_NHM_26407,SUPPLY OF PELVIC MODEL,Goods,Open Tender,Buy,Supply of Materials,NA,No,No,1760000,2020-04-01 9:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,60,No,Offline,NA,Technical Evaluation,4,assessment,Price Bid Opening Date,NA,05-02-2020 16:00,NA,National Health Mission,2020-2021
ocds-kjhdrl-2019_BoTC_15622_1,tender,tender,1,2022-09-29,2019_BoTC_15622_1,TN 3 of 2019-20 (Re-Tender),Supply and installation of Worsted Spun Silk Machineries,Works,Open Tender,Works,Civil Works,NA,No,No,16537700,2020-04-01 10:20:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Evaluation,1,assessment,Price Bid Opening Date,NA,03-02-2020 15:30,NA,Bodoland Territorial Council,2020-2021
ocds-kjhdrl-2020_PWD_15697_1,tender,tender,1,2022-09-29,2020_PWD_15697_1,SENL/NIT/N/298/2009-10/Pt-II,SENL/SOPD-G/2019-20/NAL-30,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,7949000,2020-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,3,assessment,Price Bid Opening Date,NA,21-01-2020 11:00,NA,Public Works Roads Department,2020-2021
ocds-kjhdrl-2020_PWD_15697_2,tender,tender,1,2022-09-29,2020_PWD_15697_2,SENL/NIT/N/298/2009-10/Pt-II,SENL/SOPD-G/2019-20/NAL-31,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,5574000,2020-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Evaluation,4,assessment,Price Bid Opening Date,NA,21-01-2020 11:00,NA,Public Works Roads Department,2020-2021
ocds-kjhdrl-2020_PWD_15697_3,tender,tender,1,2022-09-29,2020_PWD_15697_3,SENL/NIT/N/298/2009-10/Pt-II,SENL/SOPD-G/2019-20/NAL-32,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,5717000,2020-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,5,assessment,Price Bid Opening Date,NA,21-01-2020 11:00,NA,Public Works Roads Department,2020-2021
ocds-kjhdrl-2020_PWD_15697_4,tender,tender,1,2022-09-29,2020_PWD_15697_4,SENL/NIT/N/298/2009-10/Pt-II,SENL/SOPD-G/2019-20/NAL-33,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,6221000,2020-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Evaluation,2,assessment,Price Bid Opening Date,NA,21-01-2020 11:00,NA,Public Works Roads Department,2020-2021
ocds-kjhdrl-2020_PWD_15697_5,tender,tender,1,2022-09-29,2020_PWD_15697_5,SENL/NIT/N/298/2009-10/Pt-II,SENL/SOPD-G/2019-20/NAL-34,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,6094000,2020-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,4,assessment,Price Bid Opening Date,NA,21-01-2020 11:00,NA,Public Works Roads Department,2020-2021
ocds-kjhdrl-2020_PWD_15697_6,tender,tender,1,2022-09-29,2020_PWD_15697_6,SENL/NIT/N/298/2009-10/Pt-II,SENL/SOPD-G/2019-20/NAL-35,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,18362000,2020-04-01 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,3,assessment,Price Bid Opening Date,NA,21-01-2020 11:00,NA,Public Works Roads Department,2020-2021
