ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2019_PWD_10841_1,tender,tender,1,2022-09-29,2019_PWD_10841_1,SE/NRC/TB/NIT/01/2015-16/81,Constn. of Barhampur Bortup road under SOPD for the year 2018-19,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,6670000,2019-04-01 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,3,assessment,Price Bid Opening Date,NA,11-01-2019 11:00,NA,Public Works Roads Department,2019-2020
ocds-kjhdrl-2019_PWD_10842_1,tender,tender,1,2022-09-29,2019_PWD_10842_1,SE/NRC/TB/NIT/01/2015-16/81,Constn. of road NH-36 to Badalgaon road under SOPD (New Construction) for the year 2018-19.,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,6500000,2019-04-01 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,3,assessment,Price Bid Opening Date,NA,11-01-2019 11:00,NA,Public Works Roads Department,2019-2020
ocds-kjhdrl-2019_PWD_10843_1,tender,tender,1,2022-09-29,2019_PWD_10843_1,SE/NRC/TB/NIT/01/2015-16/81,Impv. of Kenduguri Pub Chatian road under SOPD for the year 2018-19.,Works,Open Tender,Item Rate,"Documentary film,Video film",NA,No,No,7500000,2019-04-01 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,1,assessment,Price Bid Opening Date,NA,11-01-2019 11:00,NA,Public Works Roads Department,2019-2020
ocds-kjhdrl-2019_PWD_10844_1,tender,tender,1,2022-09-29,2019_PWD_10844_1,SE/NRC/TB/NIT/01/2015-16/81,Constn. of road from Juria Chariali to Kolonijalah portion under SOPD for the year 2018-19.,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,10047800,2019-04-01 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,1,assessment,Price Bid Opening Date,NA,11-01-2019 11:00,NA,Public Works Roads Department,2019-2020
ocds-kjhdrl-2019_PWD_10845_1,tender,tender,1,2022-09-29,2019_PWD_10845_1,SE/NRC/TB/NIT/01/2015-16/81,Constn. of Pub Chatian PMGSY road to Juria College under SOPD for the year 2018-19.,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,14752200,2019-04-01 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,2,assessment,Price Bid Opening Date,NA,11-01-2019 11:00,NA,Public Works Roads Department,2019-2020
ocds-kjhdrl-2019_PWD_10850_1,tender,tender,1,2022-09-29,2019_PWD_10850_1,SE/NRC/TB/NIT/01/2015-16/81,Constn. of road from Juria Adhakhunda to Kacharigaon Leteripar Tiniali under SOPD for the year 2018-19.,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,10712000,2019-04-01 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,1,assessment,Price Bid Opening Date,NA,11-01-2019 11:00,NA,Public Works Roads Department,2019-2020
ocds-kjhdrl-2019_PWD_10852_1,tender,tender,1,2022-09-29,2019_PWD_10852_1,SE/NRC/TB/NIT/01/2015-16/81,Constn. of road from Rowmari to Beltoli under SOPD for the year 2018-19.,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,11371000,2019-04-01 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,2,assessment,Price Bid Opening Date,NA,11-01-2019 11:00,NA,Public Works Roads Department,2019-2020
ocds-kjhdrl-2019_PWD_10855_1,tender,tender,1,2022-09-29,2019_PWD_10855_1,SE/NRC/TB/NIT/34/2017-18/32,Construction of Road  from Ahomgaon Daily Bazar to Nathnel  Lang house for the year 2018-19  under SOPD (ODS).,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,10000000,2019-04-01 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,5,assessment,Price Bid Opening Date,NA,11-01-2019 11:00,NA,Public Works Roads Department,2019-2020
ocds-kjhdrl-2019_AEGCL_10820_1,tender,tender,1,2022-09-29,2019_AEGCL_10820_1,AEGCL/MD/TL-76/ JOYMA-GOSSAIGAON/2018/BID(A),CONSTRUCTION OF 132 KV S/C TRANSMISSION LINE ON D/C TOWERS FROM GOSSAINGAON,Works,Open Tender,Turn-key,Electrical Works,NA,No,No,0,2019-04-01 12:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,2,assessment,Price Bid Opening Date,NA,08-02-2019 14:00,NA,Assam Electricity Grid Corporation Ltd,2019-2020
ocds-kjhdrl-2019_PWD_10854_1,tender,tender,1,2022-09-29,2019_PWD_10854_1,Gossaigaon/SOPD (G)/2018-19/01,Improvement of Roads (1) Kokrajhar-Kachugaon to Sankosh Road (L 6.25 Km) (2) Jacobpur - Mornoi TE (L 5.90Km) (3) Kachugaon Road to Borobandha  (L 9.20 Km) (4) Simultapu - Kashiabari (L 13.28Km) of 28-GOSSAIGAON LAC UNDER SOPD-G for the year 2018-19 u,Works,Open Tender,Item Rate,Civil Works,NA,No,No,42603000,2019-04-01 12:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,2,assessment,Price Bid Opening Date,NA,22-01-2019 11:00,NA,Public Works Roads Department,2019-2020
