ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2017_GMDA_1509_1,tender,tender,1,2022-09-29,2017_GMDA_1509_1,No. GMDA/DEV/09/2016/11  Dated 02/ 01/2017,Pilot Project for Integrated Land-use Planning and Water Resource Management,Works,Open Tender,Item Rate,Miscellaneous Works,NA,No,No,34231080,2017-04-01 13:30:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,17-01-2017 15:00,NA,Guwahati Metropolitan Development Authority,2017-2018
ocds-kjhdrl-2017_HFWD_1507_2,tender,tender,1,2022-09-29,2017_HFWD_1507_2,HSFW/e-Tender/183/2016/30    Dated-03/01/2017,IEC Materials and Printing Materials For Pkg2,Goods,Open Tender,Item Rate,Publishing/Printing,NA,No,No,0,2017-04-01 13:40:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Offline,NA,Technical Evaluation,10,assessment,Price Bid Opening Date,NA,11-01-2017 15:00,NA,Health and Family Welfare Department,2017-2018
ocds-kjhdrl-2017_HFWD_1507_3,tender,tender,1,2022-09-29,2017_HFWD_1507_3,HSFW/e-Tender/183/2016/30    Dated-03/01/2017,IEC Materials and Printing Materials For Pkg3,Goods,Open Tender,Item Rate,Publishing/Printing,NA,No,No,0,2017-04-01 13:40:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Offline,NA,Technical Evaluation,8,assessment,Price Bid Opening Date,NA,11-01-2017 15:00,NA,Health and Family Welfare Department,2017-2018
ocds-kjhdrl-2017_HFWD_1507_7,tender,tender,1,2022-09-29,2017_HFWD_1507_7,HSFW/e-Tender/183/2016/30    Dated-03/01/2017,IEC Materials and Printing Materials For Pkg5,Goods,Open Tender,Item Rate,Publishing/Printing,NA,No,No,0,2017-04-01 13:50:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Offline,NA,Technical Evaluation,6,assessment,Price Bid Opening Date,NA,11-01-2017 15:00,NA,Health and Family Welfare Department,2017-2018
ocds-kjhdrl-2017_HFWD_1507_9,tender,tender,1,2022-09-29,2017_HFWD_1507_9,HSFW/e-Tender/183/2016/30    Dated-03/01/2017,IEC Materials and Printing Materials For Pkg7,Goods,Open Tender,Item Rate,Publishing/Printing,NA,No,No,0,2017-04-01 13:50:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Offline,NA,Technical Evaluation,6,assessment,Price Bid Opening Date,NA,11-01-2017 15:00,NA,Health and Family Welfare Department,2017-2018
ocds-kjhdrl-2017_HFWD_1507_4,tender,tender,1,2022-09-29,2017_HFWD_1507_4,HSFW/e-Tender/183/2016/30    Dated-03/01/2017,IEC Materials and Printing Materials For Pkg4,Goods,Open Tender,Item Rate,Publishing/Printing,NA,No,No,0,2017-04-01 14:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Offline,NA,Technical Evaluation,2,assessment,Price Bid Opening Date,NA,11-01-2017 15:00,NA,Health and Family Welfare Department,2017-2018
ocds-kjhdrl-2017_HFWD_1507_5,tender,tender,1,2022-09-29,2017_HFWD_1507_5,HSFW/e-Tender/183/2016/30    Dated-03/01/2017,IEC Materials and Printing Materials For Pkg8,Goods,Open Tender,Item Rate,Publishing/Printing,NA,No,No,0,2017-04-01 14:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Offline,NA,Technical Evaluation,2,assessment,Price Bid Opening Date,NA,11-01-2017 15:00,NA,Health and Family Welfare Department,2017-2018
ocds-kjhdrl-2017_HFWD_1507_6,tender,tender,1,2022-09-29,2017_HFWD_1507_6,HSFW/e-Tender/183/2016/30    Dated-03/01/2017,IEC Materials and Printing Materials For Pkg6,Goods,Open Tender,Item Rate,Publishing/Printing,NA,No,No,0,2017-04-01 14:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Offline,NA,Technical Evaluation,5,assessment,Price Bid Opening Date,NA,11-01-2017 15:00,NA,Health and Family Welfare Department,2017-2018
ocds-kjhdrl-2017_HFWD_1507_8,tender,tender,1,2022-09-29,2017_HFWD_1507_8,HSFW/e-Tender/183/2016/30    Dated-03/01/2017,IEC Materials and Printing Materials For Pkg9,Goods,Open Tender,Item Rate,Publishing/Printing,NA,No,No,0,2017-04-01 14:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Offline,NA,Technical Evaluation,4,assessment,Price Bid Opening Date,NA,11-01-2017 15:00,NA,Health and Family Welfare Department,2017-2018
ocds-kjhdrl-2017_HFWD_1507_11,tender,tender,1,2022-09-29,2017_HFWD_1507_11,HSFW/e-Tender/183/2016/30    Dated-03/01/2017,IEC Materials and Printing Materials For Pkg10,Goods,Open Tender,Item Rate,Publishing/Printing,NA,No,No,0,2017-04-01 15:15:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Offline,NA,Technical Evaluation,4,assessment,Price Bid Opening Date,NA,11-01-2017 15:00,NA,Health and Family Welfare Department,2017-2018
ocds-kjhdrl-2017_PHED_1511_1,tender,tender,1,2022-09-29,2017_PHED_1511_1,PHE_1986_TB_2017_T_8227_37,EVENT MANAGEMENT CONTRACT FOR THE PROPOSED ASCOSAN 17 TO BE HELD AT GUWAHATI  ASSAM,Works,Open Tender,Works,Miscellaneous Works,NA,No,No,9000000,2017-04-01 16:45:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,60,No,Offline,NA,AOC,4,assessment,Price Bid Opening Date,NA,27-01-2017 11:30,NA,Public Health Engineering Department,2017-2018
