ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2016_NHM_1087_1,tender,tender,1,2022-09-29,2016_NHM_1087_1,SNCU_DRUGS_2594_2015-16_7777,e-TENDER FOR SUPPLY OF DRUGS,Goods,Open Tender,Buy,Medicines,NA,No,No,16400000,2016-04-10 13:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,Technical Evaluation,12,assessment,Price Bid Opening Date,NA,07-11-2016 15:00,NA,National Health Mission,2016-2017
ocds-kjhdrl-2016_PWBNH_1088_1,tender,tender,1,2022-09-29,2016_PWBNH_1088_1,No. CEB/MECH/10/2016/3       dtd. 28/09/2016,Medical Gas Pipeline System at 200 bedded Cancer Hospital at GMCH,Works,Open Tender,Item Rate,Industrial/Medical GAS,NA,No,No,3053133,2016-04-10 17:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,4,assessment,Price Bid Opening Date,NA,26-10-2016 15:00,NA,Public Works Building and NH Department,2016-2017
ocds-kjhdrl-2016_SSA_1163_1,tender,tender,1,2022-09-29,2016_SSA_1163_1,ssa_mdm_calendar_49_2015_6771,Printing and Supply of MDM Calaendar,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,10000000,2016-04-11 16:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,Technical Evaluation,8,assessment,Price Bid Opening Date,NA,28-11-2016 15:00,NA,Axom Sarba Siksha Abhijan Mission,2016-2017
ocds-kjhdrl-2016_DoWR_918_1,tender,tender,1,2022-09-29,2016_DoWR_918_1,Re-GED/NIT/2015-16/20  Dated 5.12.2015,Kollong-pk24,Works,Open Tender,Works,Civil Works,NA,No,No,37307,2016-04-27 18:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,11-05-2016 14:05,NA,Department of Water Resources,2016-2017
ocds-kjhdrl-2016_DoWR_919_1,tender,tender,1,2022-09-29,2016_DoWR_919_1,Re-TWRD/G/19/VI/11/50,Bamunipam-Pk9,Works,Open Tender,Works,Civil Works,NA,No,No,62784,2016-04-27 18:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Bid Opening,1,assessment,Price Bid Opening Date,NA,11-05-2016 14:05,NA,Department of Water Resources,2016-2017
ocds-kjhdrl-2016_DoWR_920_1,tender,tender,1,2022-09-29,2016_DoWR_920_1,Re-TWRD/G/19/VI/11/50,Bamunipam-Pk10,Works,Open Tender,Works,Civil Works,NA,No,No,377936,2016-04-27 18:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Bid Opening,2,assessment,Price Bid Opening Date,NA,11-05-2016 14:05,NA,Department of Water Resources,2016-2017
ocds-kjhdrl-2016_DoWR_921_1,tender,tender,1,2022-09-29,2016_DoWR_921_1,Re-SILWRD/E-Tender/SDRF/2016/1,Roypur-pk1,Works,Open Tender,Works,Civil Works,NA,No,No,14520000,2016-04-30 18:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,1,assessment,Price Bid Opening Date,NA,14-05-2016 14:05,NA,Department of Water Resources,2016-2017
ocds-kjhdrl-2016_SAG_917_1,tender,tender,1,2022-09-29,2016_SAG_917_1,OCSAG/09/08/LOG/2015-2016(ADM),RFP For APPOINTMENT OF TRANSPORTER FOR REVERSE LOGISTICS FROM GUWAHATI and SHILLONG,Works,Open Tender,Works,Miscellaneous Works,NA,No,No,1400542,2016-05-04 10:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,Technical Evaluation,1,assessment,Price Bid Opening Date,NA,12-04-2016 14:00,NA,Organizing Committee-South Asian Games,2016-2017
ocds-kjhdrl-2016_ICD_1090_1,tender,tender,1,2022-09-29,2016_ICD_1090_1,AIDC/IDPP/BW(Ph-II)/2016/4540,Construction of Boundary Wall,Works,Open Tender,Item Rate,Civil Works,NA,No,No,5903885,2016-05-10 11:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,AOC,6,assessment,Price Bid Opening Date,NA,24-10-2016 15:00,NA,Industries and Commerce Department,2016-2017
ocds-kjhdrl-2016_SSA_1091_1,tender,tender,1,2022-09-29,2016_SSA_1091_1,ssa_ttp_epb_2017_426_2016_6268,PROCUREMENT OF EVALUATION AND PRACTICE BOOK FOR CLASS I II,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,63832354,2016-05-10 12:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,4,assessment,Price Bid Opening Date,NA,26-10-2016 15:00,NA,Axom Sarba Siksha Abhijan Mission,2016-2017
ocds-kjhdrl-2016_SSA_1092_1,tender,tender,1,2022-09-29,2016_SSA_1092_1,ssa_ttp_epb_2017_476_2016_6270,PROCUREMENT OF EVALUATION AND PRACTICE BOOK Plain FOR CLASS III TO V,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,34882120,2016-05-10 12:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,5,assessment,Price Bid Opening Date,NA,26-10-2016 15:00,NA,Axom Sarba Siksha Abhijan Mission,2016-2017
ocds-kjhdrl-2016_SSA_1093_1,tender,tender,1,2022-09-29,2016_SSA_1093_1,ssa_ttp_epb_2017_475_2016_6269,PROCUREMENT OF EVALUATION AND PRACTICE BOOK Single Line and Plain FOR CLASS  III TO V,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,38370332,2016-05-10 12:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,5,assessment,Price Bid Opening Date,NA,26-10-2016 15:00,NA,Axom Sarba Siksha Abhijan Mission,2016-2017
ocds-kjhdrl-2016_SSA_1094_1,tender,tender,1,2022-09-29,2016_SSA_1094_1,ssa_ttp_epb_2017_478_2016_6272,PROCUREMENT OF EVALUATION AND PRACTICE BOOK Plain FOR CLASS  VI TO VIII,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,49401164,2016-05-10 12:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,5,assessment,Price Bid Opening Date,NA,26-10-2016 15:00,NA,Axom Sarba Siksha Abhijan Mission,2016-2017
ocds-kjhdrl-2016_SSA_1095_1,tender,tender,1,2022-09-29,2016_SSA_1095_1,ssa_ttp_epb_2017_477_2016_6271,PROCUREMENT OF EVALUATION AND PRACTICE BOOK Single Line and Plain FOR CLASS  VI TO VIII,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,55576310,2016-05-10 12:00:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,4,assessment,Price Bid Opening Date,NA,26-10-2016 15:00,NA,Axom Sarba Siksha Abhijan Mission,2016-2017
ocds-kjhdrl-2016_SSA_1096_1,tender,tender,1,2022-09-29,2016_SSA_1096_1,ssa_ttp_ac_2017_429_2016_6306,PRINTING and SUPPLY OF ACADEMIC CALENDAR 2017,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,630519,2016-05-10 16:30:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,Technical Evaluation,5,assessment,Price Bid Opening Date,NA,27-10-2016 15:00,NA,Axom Sarba Siksha Abhijan Mission,2016-2017
